CODIGO_IBGE;MUNICIPIO;REGIONAL;PREFEITO;DIRETOR_REGIONAL;ATENDENTE(RAMAL);OBSERVACAO;LINK_IBGE
3512100;Colombia;ER Barretos;Julio Cesar Dos Santos;Raphael Dutra;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/colombia/panorama
3512209;Conchal;ER Campinas;Orlando Caleffi Junior;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/conchal/panorama
3512308;Conchas;ER Sorocaba;Paulo Nunes De Almeida;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/conchas/panorama
3512407;Cordeiropolis;ER Campinas;Maria Cristina Degaspari Abrahão Saad;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/cordeiropolis/panorama
3512506;Coroados;ER Aracatuba;Roberto Carrilho Alves;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/coroados/panorama
3512605;Coronel Macedo;ER Itapeva;Diego Garcia Batista;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/coronel-macedo/panorama
3512704;Corumbatai;ER Campinas;João Batista Altarugio Filho;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/corumbatai/panorama
3512803;Cosmopolis;ER Campinas;Antonio Claudio Felisbino Junior;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/cosmopolis/panorama
3512902;Cosmorama;ER Sao Jose do Rio Preto;Nelson Narciso Da Silveira Junior;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/cosmorama/panorama
3513009;Cotia;ER Sao Paulo;Wellington Aparecido Alfredo;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/cotia/panorama
3513108;Cravinhos;ER Ribeirao Preto;Itamar Gomes Bueno;Rogerio Rossini (Pio);Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/cravinhos/panorama
3513207;Cristais Paulista;ER Franca;Elson Gomes Dos Santos;Valter Sene;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/cristais-paulista/panorama
3513306;Cruzalia;ER Marilia;Arildo Osmar De Moro;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/cruzalia/panorama
3513405;Cruzeiro;ER Sao Jose dos Campos;Jose Kleber Lima Silveira Junior;Sem diretor ate o momento;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/cruzeiro/panorama
3513504;Cubatao;ER Baixada Santista;Cesar Da Silva Nascimento;Sizue Yamaguti;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/cubatao/panorama
3513603;Cunha;ER Sao Jose dos Campos;Rodrigo Sergio Do Nascimento;Sem diretor ate o momento;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/cunha/panorama
3513702;Descalvado;ER Araraquara;Luis Guilherme Panone;Jorge Bredan;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/descalvado/panorama
3513801;Diadema;ER Sao Paulo;Takaharu Yamauchi;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/diadema/panorama
3513850;Dirce Reis;ER Sao Jose do Rio Preto;Marcelo Jose Bernardo;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/dirce-reis/panorama
3513900;Divinolandia;ER Campinas;Antônio De Pádua Aquisti;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/divinolandia/panorama
3514007;Dobrada;ER Araraquara;Antonio Carlos De Mattos Santos;Jorge Bredan;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/dobrada/panorama
3514106;Dois Corregos;ER Bauru;Alceu Antonio Mazziero;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/dois-corregos/panorama
3514205;Dolcinopolis;ER Sao Jose do Rio Preto;Diego Aparecido Pereira Miguel;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/dolcinopolis/panorama
3514304;Dourado;ER Araraquara;Luiz Antonio Rogante Junior;Jorge Bredan;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/dourado/panorama
3514403;Dracena;ER Presidente Prudente;Geni Pereira Lobo Pesin;Silvio Ushijima;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/dracena/panorama
3514502;Duartina;ER Bauru;Suzy Helena Simão Blagitz Ferraz;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/duartina/panorama
3514601;Dumont;ER Ribeirao Preto;Rogerson Aparecido Bujarloin Ruiz;Rogerio Rossini (Pio);Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/dumont/panorama
3514700;Echapora;ER Marilia;Ronaldo Gazeta;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/echapora/panorama
3514809;Eldorado;ER Vale do Ribeira;Noel Castelo Da Costa;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/eldorado/panorama
3514908;Elias Fausto;ER Campinas;Joaquim Antônio De Campos Bicudo;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/elias-fausto/panorama
3514924;ElisiArio;ER Sao Jose do Rio Preto;Cassio Roberto Bertelli;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/elisiario/panorama
3514957;Embauba;ER Barretos;Nercilio Pinheiro Da Silva;Raphael Dutra;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/embauba/panorama
3515004;Embu das Artes;ER Sao Paulo;Hugo Do Prado Santos;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/embu-das-artes/panorama
3515103;Embu Guacu;ER Sao Paulo;Andre George Neres De Farias;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/embu-guacu/panorama
3515129;Emilianopolis;ER Presidente Prudente;Elton Munhoz De Souza;Silvio Ushijima;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/emilianopolis/panorama
3515152;Engenheiro Coelho;ER Campinas;Pedro Franco De Oliveira;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/engenheiro-coelho/panorama
3515186;Espirito Santo do Pinhal;ER Campinas;Sergio Del Bianchi Junior;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/espirito-santo-do-pinhal/panorama
3515194;Espirito Santo do Turvo;ER Marilia;Gilberto Nascimento Bertolino;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/espirito-santo-do-turvo/panorama
3515202;Estrela D'Oeste;ER Sao Jose do Rio Preto;Pedro De Senzi Neto;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/estrela-d'oeste/panorama
3515301;Estrela do Norte;ER Presidente Prudente;Alberto Martins De Oliveira;Silvio Ushijima;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/estrela-do-norte/panorama
3515350;Euclides da Cunha Paulista;ER Presidente Prudente;Domingos Mente Lopes;Silvio Ushijima;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/euclides-da-cunha-paulista/panorama
3515400;Fartura;ER Itapeva;Luiz Marcos De Souza;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/fartura/panorama
3515509;Fernandopolis;ER Sao Jose do Rio Preto;João Paulo Sales Cantarella;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/fernandopolis/panorama
3515608;Fernando Prestes;ER Araraquara;Mariel Sebastião Rocha;Jorge Bredan;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/fernando-prestes/panorama
3515657;Fernao;ER Marilia;Eber Rogerio Assis;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/fernao/panorama
3515707;Ferraz de Vasconcelos;ER Sao Paulo;Priscila Conceição Gambale Vieira Matos;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/ferraz-de-vasconcelos/panorama
3515806;Flora Rica;ER Presidente Prudente;Fabio Luiz Florentino De Faria;Silvio Ushijima;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/flora-rica/panorama
3515905;Floreal;ER Sao Jose do Rio Preto;Raul Scalon;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/floreal/panorama
3516002;Florida Paulista;ER Presidente Prudente;Jose Andriotti;Silvio Ushijima;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/florida-paulista/panorama
3516101;Florinea;ER Marilia;Sergio Lopes Da Silva;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/florinea/panorama
3516200;Franca;ER Franca;Alexandre Augusto Ferreira;Valter Sene;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/franca/panorama
3516309;Francisco Morato;ER Sao Paulo;Ildo Da Silva Gusmão;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/francisco-morato/panorama
3516408;Franco da Rocha;ER Sao Paulo;Lorena Rodrigues Oliveira;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/franco-da-rocha/panorama
3516507;Gabriel Monteiro;ER Aracatuba;Renee Crema Vidoto;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/gabriel-monteiro/panorama
3516606;Galia;ER Marilia;Jose Silvino Zaniboni Junior;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/galia/panorama
3516705;Garca;ER Marilia;Jose Alcides Faneco;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/garca/panorama
3516804;Gastao Vidigal;ER Aracatuba;Daniel Guarnieri Criado;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/gastao-vidigal/panorama
3516853;Gaviao Peixoto;ER Araraquara;Adriano Marçal Da Silva;Jorge Bredan;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/gaviao-peixoto/panorama
3516903;General Salgado;ER Aracatuba;Thiago Francisquini Viana;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/general-salgado/panorama
3517000;Getulina;ER Bauru;Mario Tadeu Celestino Ribeiro;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/getulina/panorama
3517109;Glicerio;ER Aracatuba;Hairton Kelsine Carvalho Oliveira;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/glicerio/panorama
3517208;Guaicara;ER Bauru;Flavia Ramos Bittencourt Leão Cabral;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/guaicara/panorama
3517307;Guaimbe;ER Bauru;Marcia Helena Pereira Cabral Achilles;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/guaimbe/panorama
3517406;Guaira;ER Barretos;Antonio Manoel Da Silva Junior;Raphael Dutra;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/guaira/panorama
3517505;Guapiacu;ER Sao Jose do Rio Preto;Carlos Cesar Zaitune;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/guapiacu/panorama
3517604;Guapiara;ER Itapeva;Jose Matheus Rodolfo De Freitas;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/guapiara/panorama
3517703;Guara;ER Franca;Filipe Furtado Da Rocha;Valter Sene;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/guara/panorama
3517802;Guaracai;ER Aracatuba;Airton Jose Gomes;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/guaracai/panorama
3517901;Guaraci;ER Barretos;Renato Azeda Ribeiro De Aguiar;Raphael Dutra;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/guaraci/panorama
3518008;Guarani D'Oeste;ER Sao Jose do Rio Preto;Edimilson Pires Do Carmo;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/guarani-d'oeste/panorama
3518107;Guaranta;ER Bauru;Marcos Roberto Frugeri;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/guaranta/panorama
3518206;Guararapes;ER Aracatuba;Alex Peramo De Arruda;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/guararapes/panorama
3518305;Guararema;ER Sao Paulo;Jose Luiz Eroles Freire;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/guararema/panorama
3518404;Guaratingueta;ER Sao Jose dos Campos;Antonio Gilberto Filippo Fernandes Junio;Sem diretor ate o momento;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/guaratingueta/panorama
3518503;Guarei;ER Sorocaba;Reinaldo Vicente De Souza;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/guarei/panorama
3518602;Guariba;ER Ribeirao Preto;Dr Francisco Dias Mançano Junior;Rogerio Rossini (Pio);Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/guariba/panorama
3518701;Guaruja;ER Baixada Santista;Farid Said Madi;Sizue Yamaguti;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/guaruja/panorama
3518800;Guarulhos;ER Sao Paulo;Lucas Sanches Promessia;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/guarulhos/panorama
3518859;Guatapara;ER Ribeirao Preto;Ailton Aparecido Da Silva;Rogerio Rossini (Pio);Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/guatapara/panorama
3518909;Guzolandia;ER Aracatuba;Luiz Antônio Pereira De Carvalho;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/guzolandia/panorama
3519006;Herculandia;ER Marilia;Paulo Sergio De Oliveira;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/herculandia/panorama
3519055;Holambra;ER Campinas;Fernando Henrique Capato;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/holambra/panorama
3519071;Hortolandia;ER Campinas;Jose Nazareno Zeze Gomes;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/hortolandia/panorama
3519105;Iacanga;ER Bauru;Aparecida De Fátima Pinheiro;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/iacanga/panorama
3519204;Iacri;ER Marilia;Cleber Rogerio Cerbantes Panhozzi;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/iacri/panorama
3519253;Iaras;ER Sorocaba;Patrick Hernandes Morales;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/iaras/panorama
3519303;Ibate;ER Araraquara;Ronaldo Rodrigo Venturi;Jorge Bredan;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/ibate/panorama
3519402;Ibira;ER Sao Jose do Rio Preto;Nivaldo Domingos Negrão;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/ibira/panorama
3519501;Ibirarema;ER Marilia;Jose Benedito Camacho;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/ibirarema/panorama
3519600;Ibitinga;ER Araraquara;Florisvaldo Antônio Fiorentino;Jorge Bredan;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/ibitinga/panorama
3519709;Ibiuna;ER Sorocaba;Mario Pires De Oliveira Filho;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/ibiuna/panorama
3519808;Icem;ER Sao Jose do Rio Preto;Aparecida Salisso;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/icem/panorama
3519907;Iepe;ER Presidente Prudente;Marta Patricia Stonis Da Costa;Silvio Ushijima;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/iepe/panorama
3520004;Igaracu do Tiete;ER Bauru;Carlos Alberto Varasquim;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/igaracu-do-tiete/panorama
3520103;Igarapava;ER Franca;Jose Humberto Lacerda Rodrigues;Valter Sene;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/igarapava/panorama
3520202;Igarata;ER Sao Jose dos Campos;Gabriel Gomes Prianti De Jesus;Sem diretor ate o momento;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/igarata/panorama
3520301;Iguape;ER Vale do Ribeira;Salvador Jose Barbosa Junior;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/iguape/panorama
3520400;Ilhabela;ER Sao Jose dos Campos;Antonio Luiz Colucci;Sem diretor ate o momento;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/ilhabela/panorama
3520426;Ilha Comprida;ER Vale do Ribeira;Maristela Osorio De Marques Cardona;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/ilha-comprida/panorama
3520442;Ilha Solteira;ER Aracatuba;Rodrigo Batista Gonçalves;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/ilha-solteira/panorama
3520509;Indaiatuba;ER Campinas;Custódio Tavares Dias Neto;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/indaiatuba/panorama
3520608;Indiana;ER Presidente Prudente;Wheslen Thiego Scaione Cachoeira;Silvio Ushijima;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/indiana/panorama
3520707;Indiapora;ER Sao Jose do Rio Preto;Bernadete Aparecida Santana Ribeiro Spon;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/indiapora/panorama
3520806;Inubia Paulista;ER Presidente Prudente;Fernando Rossi;Silvio Ushijima;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/inubia-paulista/panorama
3520905;Ipaussu;ER Marilia;Luiz Carlos Souto;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/ipaussu/panorama
3521002;Ipero;ER Sorocaba;Leonardo Roberto Folim;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/ipero/panorama
3521101;Ipeuna;ER Campinas;Maria Luisa Zanoni Prata;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/ipeuna/panorama
3521150;Ipigua;ER Sao Jose do Rio Preto;Efraim Garcia Lopes;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/ipigua/panorama
3521200;Iporanga;ER Itapeva;Marcos Dos Santos Domingos;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/iporanga/panorama
3521309;Ipua;ER Franca;Ronywerton Marcelo Alves Pereira;Valter Sene;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/ipua/panorama
3521408;Iracemapolis;ER Campinas;Nelita Cristina Michel Franceschini;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/iracemapolis/panorama
3521507;Irapua;ER Sao Jose do Rio Preto;Reni Aparecida Da Silva;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/irapua/panorama
3521606;Irapuru;ER Presidente Prudente;Ademar Calegão;Silvio Ushijima;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/irapuru/panorama
3521705;Itabera;ER Itapeva;Celio Ronaldo Gomes De Lima;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/itabera/panorama
3521804;Itai;ER Itapeva;Jose Ramiro Antunes Prado;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/itai/panorama
3521903;Itajobi;ER Sao Jose do Rio Preto;Sidiomar Ujaque;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/itajobi/panorama
3522000;Itaju;ER Bauru;Jerri De Souza Neiva;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/itaju/panorama
3522109;Itanhaem;ER Baixada Santista;Tiago Rodrigues Cervantes;Sizue Yamaguti;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/itanhaem/panorama
3522158;Itaoca;ER Itapeva;Frederico Dias Batista;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/itaoca/panorama
3522208;Itapecerica da Serra;ER Sao Paulo;Ramon Pires Corsini;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/itapecerica-da-serra/panorama
3522307;Itapetininga;ER Sorocaba;Jeferson Rodrigo Brun;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/itapetininga/panorama
3522406;Itapeva;ER Itapeva;Adriana Duch Machado;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/itapeva/panorama
3522505;Itapevi;ER Sao Paulo;Marcos Ferreira Godoy;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/itapevi/panorama
3522604;Itapira;ER Campinas;António Helio Nicolai;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/itapira/panorama
3522653;Itapirapua Paulista;ER Itapeva;Julio Cesar Do Amaral;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/itapirapua-paulista/panorama
3522703;Itapolis;ER Araraquara;Vladimir Do Carmo Reggiani;Jorge Bredan;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/itapolis/panorama
3522802;Itaporanga;ER Itapeva;Fabio Bruno Gurgel Benini;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/itaporanga/panorama
3522901;Itapui;ER Bauru;Maria Clelia Viaro Pichelli;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/itapui/panorama
3523008;Itapura;ER Aracatuba;Sergino Da Silva Prado;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/itapura/panorama
3523107;Itaquaquecetuba;ER Sao Paulo;Eduardo Boigues Queroz;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/itaquaquecetuba/panorama
3523206;Itarare;ER Itapeva;João Jorge Fadel Filho;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/itarare/panorama
3523305;Itariri;ER Vale do Ribeira;Carlos Rocha Ribeiro;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/itariri/panorama
3523404;Itatiba;ER Campinas;Thomás Antonio Capeletto De Oliveira;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/itatiba/panorama
3523503;Itatinga;ER Sorocaba;Paulo Henrique De Oliveira Roque;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/itatinga/panorama
3523602;Itirapina;ER Campinas;Maria Da Graça Zucchi Moraes;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/itirapina/panorama
3523701;Itirapua;ER Franca;Gerson Luiz Alves;Valter Sene;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/itirapua/panorama
3523800;Itobi;ER Campinas;Joaquim Cândido Filho;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/itobi/panorama
3523909;Itu;ER Sorocaba;Herculano Castilho Passos Junior;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/itu/panorama
3524006;Itupeva;ER Campinas;Rogerio Cavalin;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/itupeva/panorama
3524105;Ituverava;ER Franca;Luiz Antonio Araujo;Valter Sene;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/ituverava/panorama
3524204;Jaborandi;ER Barretos;Silvio Vaz De Almeida;Raphael Dutra;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/jaborandi/panorama
3524303;Jaboticabal;ER Ribeirao Preto;Emerson Rodrigo Camargo;Rogerio Rossini (Pio);Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/jaboticabal/panorama
3524402;Jacarei;ER Sao Jose dos Campos;Celso Florêncio De Souza;Sem diretor ate o momento;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/jacarei/panorama
3524501;Jaci;ER Sao Jose do Rio Preto;Valeria Perpetuo Guimarães Henrique;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/jaci/panorama
