CODIGO_IBGE;MUNICIPIO;REGIONAL;PREFEITO;DIRETOR_REGIONAL;ATENDENTE(RAMAL);OBSERVACAO;LINK_IBGE
3502804;Aracatuba;ER Aracatuba;Lucas Pavan Zanatta;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/aracatuba/panorama
3502903;Aracoiaba da Serra;ER Sorocaba;Jose Carlos De Quevedo Júnior;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/aracoiaba-da-serra/panorama
3503000;Aramina;ER Franca;Luís Sergio Celeste Jorge;Valter Sene;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/aramina/panorama
3503109;Arandu;ER Itapeva;Flávio Carlomagno Galhego;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/arandu/panorama
3503158;Arapei;ER Sao Jose dos Campos;Renê Lucio Gonçalves;Sem diretor ate o momento;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/arapei/panorama
3503208;Araraquara;ER Araraquara;Luis Cláudio Lapena Barreto;Jorge Bredan;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/araraquara/panorama
3503307;Araras;ER Campinas;Irineu Norival Maretto;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/araras/panorama
3503356;Arco Iris;ER Marilia;Aldo Mansano Fernandes;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/arco-iris/panorama
3503406;Arealva;ER Bauru;Paulo Juliano Nocolielo Junior;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/arealva/panorama
3503505;Areias;ER Sao Jose dos Campos;Rodrigo Jose Ramos De Oliveira;Sem diretor ate o momento;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/areias/panorama
3503604;Areiopolis;ER Sorocaba;Michel Hnerique Augusto;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/areiopolis/panorama
3503703;Ariranha;ER Sao Jose do Rio Preto;Emerson Antonio Trovó;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/ariranha/panorama
3503802;Artur Nogueira;ER Campinas;Lucas Sia Rissato;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/artur-nogueira/panorama
3503901;Aruja;ER Sao Paulo;Luis Antonio De Camargo;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/aruja/panorama
3503950;Aspasia;ER Sao Jose do Rio Preto;Ivan De Paula;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/aspasia/panorama
3504008;Assis;ER Marilia;Telma Gonçalves Carneiro Spera De Andrad;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/assis/panorama
3504107;Atibaia;ER Campinas;Daniel Da Rocha Martini;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/atibaia/panorama
3504206;Auriflama;ER Aracatuba;Katia Conceição Morita De Carvalho;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/auriflama/panorama
3504305;Avai;ER Bauru;Hellen Fernandes Rodrigues Coelho;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/avai/panorama
3504404;Avanhandava;ER Aracatuba;Norberto Cesar Beraldo;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/avanhandava/panorama
3504503;Avare;ER Sorocaba;Roberto De Araujo;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/avare/panorama
3504602;Bady Bassitt;ER Sao Jose do Rio Preto;Janimeiri Catelani Buzzi;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/bady-bassitt/panorama
3504701;Balbinos;ER Bauru;Jose Marcio Rigotto;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/balbinos/panorama
