CODIGO_IBGE;MUNICIPIO;REGIONAL;mun_s_acento
3509908;Cananأ©ia;ER Vale do Ribeira;Cananeia
3509957;Canas;ER Sao Jose dos Campos;Canas
3510005;Cأ¢ndido Mota;ER Marilia;Candido Mota
3510104;Cأ¢ndido Rodrigues;ER Araraquara;Candido Rodrigues
3510153;Canitar;ER Marilia;Canitar
3510203;Capأ£o Bonito;ER Itapeva;Capao Bonito
3510302;Capela do Alto;ER Sorocaba;Capela do Alto
3510401;Capivari;ER Campinas;Capivari
3510500;Caraguatatuba;ER Sao Jose dos Campos;Caraguatatuba
3510609;Carapicuiba;ER Sao Paulo;Carapicuiba
3510708;Cardoso;ER Sao Jose do Rio Preto;Cardoso
3510807;Casa Branca;ER Campinas;Casa Branca
3510906;Cأ،ssia dos Coqueiros;ER Ribeirao Preto;Cassia dos Coqueiros
3511003;Castilho;ER Aracatuba;Castilho
3511102;Catanduva;ER Sao Jose do Rio Preto;Catanduva
3511201;Catiguأ،;ER Sao Jose do Rio Preto;Catigua
3511300;Cedral;ER Sao Jose do Rio Preto;Cedral
3511409;Cerqueira Cesar;ER Sorocaba;Cerqueira Cesar
3511508;Cerquilho;ER Sorocaba;Cerquilho
3511607;Cesأ،rio Lange;ER Sorocaba;Cesario Lange
3511706;Charqueada;ER Campinas;Charqueada
3511904;Clementina;ER Aracatuba;Clementina
3512001;Colina;ER Barretos;Colina
3512100;Colأ´mbia;ER Barretos;Colombia
3512209;Conchal;ER Campinas;Conchal
3512308;Conchas;ER Sorocaba;Conchas
3512407;Cordeirأ³polis;ER Campinas;Cordeiropolis
3512506;Coroados;ER Aracatuba;Coroados
3512605;Coronel Macedo;ER Itapeva;Coronel Macedo
3512704;Corumbataأ­;ER Campinas;Corumbatai
3512803;Cosmأ³polis;ER Campinas;Cosmopolis
3512902;Cosmorama;ER Sao Jose do Rio Preto;Cosmorama
3513009;Cotia;ER Sao Paulo;Cotia
3513108;Cravinhos;ER Ribeirao Preto;Cravinhos
3513207;Cristais Paulista;ER Franca;Cristais Paulista
3513306;Cruzï؟½lia;ER Marilia;Cruzalia
3513405;Cruzeiro;ER Sao Jose dos Campos;Cruzeiro
3513504;Cubatï؟½o;ER Baixada Santista;Cubatao
3513603;Cunha;ER Sao Jose dos Campos;Cunha
3513702;Descalvado;ER Araraquara;Descalvado
3513801;Diadema;ER Sao Paulo;Diadema
3513850;Dirce Reis;ER Sao Jose do Rio Preto;Dirce Reis
3513900;Divinolï؟½ndia;ER Campinas;Divinolandia
3514007;Dobrada;ER Araraquara;Dobrada
3514106;Dois Cï؟½rregos;ER Bauru;Dois Corregos
3514205;Dolcinï؟½polis;ER Sao Jose do Rio Preto;Dolcinopolis
3514304;Dourado;ER Araraquara;Dourado
3514403;Dracena;ER Presidente Prudente;Dracena
3514502;Duartina;ER Bauru;Duartina
3514601;Dumont;ER Ribeirao Preto;Dumont
3514700;Echaporï؟½;ER Marilia;Echapora
3514809;Eldorado;ER Vale do Ribeira;Eldorado
3514908;Elias Fausto;ER Campinas;Elias Fausto
3514924;Elisiï؟½rio;ER Sao Jose do Rio Preto;Elisirio
3514957;Embaï؟½ba;ER Barretos;Embauba
3515004;Embu das Artes;ER Sao Paulo;Embu das Artes
3515103;Embu Guaï؟½u;ER Sao Paulo;Embu Guacu
3515129;Emilianï؟½polis;ER Presidente Prudente;Emilianopolis
3515152;Engenheiro Coelho;ER Campinas;Engenheiro Coelho
3515186;Espï؟½rito Santo do Pinhal;ER Campinas;Espirito Santo do Pinhal
3515194;Espï؟½rito Santo do Turvo;ER Marilia;Espirito Santo do Turvo
3515202;Estrela D'Oeste;ER Sao Jose do Rio Preto;Estrela D'Oeste
3515301;Estrela do Norte;ER Presidente Prudente;Estrela do Norte
3515350;Euclides da Cunha Paulista;ER Presidente Prudente;Euclides da Cunha Paulista
3515400;Fartura;ER Itapeva;Fartura
3515509;Fernandï؟½polis;ER Sao Jose do Rio Preto;Fernandopolis
3515608;Fernando Prestes;ER Araraquara;Fernando Prestes
3515657;Fernï؟½o;ER Marilia;Fernao
3515707;Ferraz de Vasconcelos;ER Sao Paulo;Ferraz de Vasconcelos
3515806;Flora Rica;ER Presidente Prudente;Flora Rica
3515905;Floreal;ER Sao Jose do Rio Preto;Floreal
3516002;Flï؟½rida Paulista;ER Presidente Prudente;Florida Paulista
3516101;Florï؟½nea;ER Marilia;Florinea
3516200;Franca;ER Franca;Franca
3516309;Francisco Morato;ER Sao Paulo;Francisco Morato
3516408;Franco da Rocha;ER Sao Paulo;Franco da Rocha
3516507;Gabriel Monteiro;ER Aracatuba;Gabriel Monteiro
3516606;Gï؟½lia;ER Marilia;Galha
